Year,Live_births,Still_births,Deaths,Vital_Births,Vital_Deaths,Percentage_Births,Percentage_Deaths,
1971,469226,9966,176160,16,6,50.5,40.6,
1972,484616,13312,179593,16.1,6,51.1,47.2,
1973,463130,11970,193725,14.94,6.24,51.7,50.3,
1974,435353,10612,166102,13.74,5.24,49.1,48.1,
1975,453444,10689,171857,13.97,5.29,50.4,48.1,
1976,454851,10713,176061,13.68,5.3,46.4,45.3,
1977,459473,9828,175824,12.92,5.17,48.2,46.2,
1978,427336,4991,155489,12.22,4.44,42,37.3,
1979,455668,7714,163296,12.82,4.59,44.7,45,
1980,460295,7673,87556,12.68,2.41,45.9,25.1,
1981,466387,7036,150526,12.56,4.06,44.4,44.6,
1982,480337,4420,150008,12.66,3.96,45.4,43,
1983,406812,5921,224115,10.51,3.21,36.1,34.5,
1984,439892,6472,132568,11.14,3.35,36.8,35,
1985,484334,2373,154186,12.03,3.83,40.6,43.5,
1986,564500,5739,162700,13.65,3.93,47.4,45.2,
1987,564015,4897,154018,13.4,3.66,46.4,42.1,
1988,641846,5276,195787,14.98,4.57,52.2,51.9,
1989,673287,4734,199766,17.68,5.09,63.1,57.8,
1990,780496,5736,209873,17.61,4.73,62.9,58.4,
1991,792291,4938,240206,17.65,5.35,65.6,59.4,
1992,827188,5551,215666,18,4.69,68.5,55.2,
1993,860471,3949,257133,18.34,5.48,71.9,68.5,
1994,886320,5236,282180,21.6,6.9,86.7,83.1,
1995,996077,5656,325279,20.34,6.64,84.4,87.4,
1996,1028112,5415,336535,20.54,6.61,89.34,86.92,
1997,1031329,4545,350264,20.17,6.85,88.86,90.14,
1998,1042256,4213,374400,20,7.16,90.67,90.71,
1999,997649,4473,346451,18.68,6.48,83.78,84.26,
2000,1009716,5472,351736,20.04,6.98,91.07,89.48,
2001,1017224,4557,365181,19.51,7,87.88,92.15,
2002,973653,4187,355662,18.85,6.89,85.29,95.69,
2003,1001749,3628,359661,19.31,6.93,88.58,96.25,
2004,988520,3943,343644,18.82,6.54,90.05,94.78,
2005,1007868,4538,364415,18.51,6.69,89.85,94.23,
2006,1046531,5091,387604,18.95,7.02,94.28,98.87,
2007,1046424,5526,381890,18.95,6.92,95.23,94.79,
2008,1082450,5069,372062,19.3,6.63,97.47,89.59,
2009,1076383,5729,373290,19.05,6.61,97.69,91.81,
2010,1071518,6587,381743,18.29,6.51,95.26,91.69,
2011,1108562,6940,384745,18.72,6.5,99.47,91.55,
,,,,,,,,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS, STILL BIRTHS AND RATES URBAN-2011",,,,,,,,
,,Birth,,Death,,,Still Birth,
Sl.No,District,Births_Registered,Birth_Rate,Death_Registered,Rate,Registered_Infant_Death,Still Birth_Registered,Still Birth_Rate
1,BAGALKOTE,35199,18.74,5119,6.06,234,426,10.35
2,BANGALORE (R),7479,12.8,1722,5.66,27,4,0.29
3,BANGALORE (U),141434,14.28,48611,4.88,1216,264,2
4,BELGAUM,54881,14.99,10951,6.8,516,868,13.37
5,BELLARY,28309,21.87,6728,6,372,335,6.85
6,BIDAR,24793,19.08,2370,3.98,188,343,4.18
7,BIJAPUR,29234,24.59,4040,6.47,398,327,4.35
8,CHAMARAJANAGAR,7070,18.18,1329,6.77,18,14,1.87
9,CHICKBALLAPUR,14337,18.5,1655,5.68,36,85,4.91
10,CHIKMAGALUR,14575,16.13,2091,6.51,91,38,2.06
11,CHITRADURGA,17439,16.2,3096,7.15,145,171,10.34
12,DAKSHINA KANNADA,30225,16.64,8758,5.05,514,333,8.4
13,DAVANAGERE,27982,19.04,7100,7.96,483,231,7.06
14,DHARWAD,34689,20.91,10170,6.84,1102,761,9.42
15,GADAG,16325,17.45,4104,8.37,170,309,11.27
16,GULBARGA,17430,22.41,4339,5.64,310,10,0.84
17,HASSAN,21600,16.15,3240,5.39,125,26,0.98
18,HAVERI,18665,20.99,2737,7,86,314,10.11
19,KODAGU,6146,14.05,884,6.47,114,23,2.63
20,KOLAR,17275,19.01,3508,5.75,81,217,9.09
21,KOPPAL,10513,24.31,1661,6.1,36,14,2.8
22,MANDYA,17392,16.68,2940,5.97,115,15,0.19
23,MYSORE,44644,16.77,11354,6.4,881,234,2.75
24,RAICHUR,18559,21.62,4114,6.65,249,277,9.27
25,RAMANAGAR,9712,22.55,1885,6.25,9,6,0
26,SHIMOGA,29433,16.48,5713,6.97,327,329,6.89
27,TUMKUR,29496,19.57,4428,6.6,110,32,1.14
28,UDUPI,16463,17.51,3770,5.12,125,136,0.67
29,UTTARA KANNADA,22150,17.69,3096,6.35,101,173,7
30,YADGIR,4716,17.37,1074,5.2,19,0,0.78
,STATE,768165,17.56,172587,5.83,8198,6315,4.76
,,,,,,,,
,,,,,,,,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS, STILL BIRTHS AND RATES RURAL-2011",,,,,,,,
,,Birth,,Death,,,Still Birth,
Sl. No,District,Birth_Registered,Birth_Rate,Death_Registered,Death_Rate,Registered Infant Death,Still Birth_Registered,Still Birth_Rate
1,BAGALKOTE,13560,25.26,8295,7.54,60,28,7.88
