VITAL EVENTS REGISTERED FROM 1971 TO 2015,,,,,,,,
,,,,,,,,
,Number of vital events registered,,,Vital rates,,"Percentage of CRS
rates to SRS rates",,
Year,Live births,Still births,Deaths,Vital Births,Vital Deaths,CRS Births,CRS Deaths,
1971,469226,9966,176160,16,6,50.5,40.6,
1972,484616,13312,179593,16.1,6,51.1,47.2,
1973,463130,11970,193725,14.94,6.24,51.7,50.3,
1974,435353,10612,166102,13.74,5.24,49.1,48.1,
1975,453444,10689,171857,13.97,5.29,50.4,48.1,
1976,454851,10713,176061,13.68,5.3,46.4,45.3,
1977,459473,9828,175824,12.92,5.17,48.2,46.2,
1978,427336,4991,155489,12.22,4.44,42,37.3,
1979,455668,7714,163296,12.82,4.59,44.7,45,
1980,460295,7673,87556,12.68,2.41,45.9,25.1,
1981,466387,7036,150526,12.56,4.06,44.4,44.6,
1982,480337,4420,150008,12.66,3.96,45.4,43,
1983,406812,5921,224115,10.51,3.21,36.1,34.5,
1984,439892,6472,132568,11.14,3.35,36.8,35,
1985,484334,2373,154186,12.03,3.83,40.6,43.5,
1986,564500,5739,162700,13.65,3.93,47.4,45.2,
1987,564015,4897,154018,13.4,3.66,46.4,42.1,
1988,641846,5276,195787,14.98,4.57,52.2,51.9,
1989,673287,4734,199766,17.68,5.09,63.1,57.8,
1990,780496,5736,209873,17.61,4.73,62.9,58.4,
1991,792291,4938,240206,17.65,5.35,65.6,59.4,
1992,827188,5551,215666,18,4.69,68.5,55.2,
1993,860471,3949,257133,18.34,5.48,71.9,68.5,
1994,886320,5236,282180,21.6,6.9,86.7,83.1,
1995,996077,5656,325279,20.34,6.64,84.4,87.4,
1996,1028112,5415,336535,20.54,6.61,89.34,86.92,
1997,1031329,4545,350264,20.17,6.85,88.86,90.14,
1998,1042256,4213,374400,20,7.16,90.67,90.71,
1999,997649,4473,346451,18.68,6.48,83.78,84.26,
2000,1009716,5472,351736,20.04,6.98,91.07,89.48,
2001,1017224,4557,365181,19.51,7,87.88,92.15,
2002,973653,4187,355662,18.85,6.89,85.29,95.69,
2003,1001749,3628,359661,19.31,6.93,88.58,96.25,
2004,988520,3943,343644,18.82,6.54,90.05,94.78,
2005,1007868,4538,364415,18.51,6.69,89.85,94.23,
2006,1046531,5091,387604,18.95,7.02,94.28,98.87,
2007,1046424,5526,381890,18.95,6.92,95.23,94.79,
2008,1082450,5069,372062,19.3,6.63,97.47,89.59,
2009,1076383,5729,373290,19.05,6.61,97.69,91.81,
2010,1071518,6587,381743,18.29,6.51,95.26,91.69,
2011,1108562,6940,384745,18.72,6.5,99.47,91.55,
2012,1124490,6524,407015,18.62,6.74,100,94.93,
2013,1068671,5708,413635,17.54,6.79,95.85,97,
2014,1087530,5685,411533,17.21,6.51,94.04,93,
2015,1053248,5067,393731,16.44,6.15,92.00*,93.00*,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS, STILL BIRTHS AND RATES URBAN-2015",,,,,,,,
"Sl.
No",,Birth,,Death,,,Still Birth,
,District,Registered,Rate,Registered,Rate,Registered Infant Death,Registered,Rate
1,BAGALKOTE,41578,20.9,5392,5.78,581,339,5.6
2,BANGALORE (R),7112,15.88,1981,5.54,61,45,6.08
3,BANGALORE (U),152671,14.16,57621,5.45,1884,270,1.8
4,BELGAUM,59891,16.32,11403,5.9,753,439,11.94
5,BELLARY,35984,20.32,8995,7.01,962,318,8.73
6,BIDAR,23712,26.14,4050,8.37,396,200,7.05
7,BIJAPUR,34550,22.53,5033,5.58,499,137,3.91
8,CHAMARAJANAGAR,6545,10.04,1707,8.83,25,72,7.94
9,CHICKBALLAPUR,12651,12.03,1885,5.9,45,26,1.33
10,CHIKMAGALUR,11936,21.68,1828,7.12,241,25,3.73
11,CHITRADURGA,18155,16.3,3324,7.72,265,113,5.84
12,DAKSHINA KANNADA,32142,14.5,10399,4.09,613,295,6.53
13,DAVANAGERE,31430,18.56,6827,7.18,1381,290,5.79
14,DHARWAD,36125,20.68,10194,6.97,1358,555,5.64
15,GADAG,15788,13.07,4049,7.05,306,228,9.06
16,GULBARGA,45713,27.36,5712,5.43,516,154,6.36
17,HASSAN,21117,25.38,3723,6.7,345,15,0.95
18,HAVERI,17329,15.27,2709,5.26,292,242,5.81
19,KODAGU,4866,18.96,921,5.36,103,6,2.53
20,KOLAR,17899,23.65,3267,4.88,292,58,4.58
21,KOPPAL,15749,18.99,1812,5.26,44,0,1.47
22,MANDYA,16137,12.74,2904,7.08,251,19,0.74
23,MYSORE,43471,16.1,13268,6.51,1702,45,0.49
24,RAICHUR,17132,21.13,3885,5.76,351,104,3.7
25,RAMANAGAR,8154,13.96,1719,5.5,28,11,0.24
26,SHIMOGA,30719,13.55,6562,5.98,549,269,4.55
27,TUMKUR,31416,14.46,6011,5.92,327,44,0.75
28,UDUPI,14907,13.33,3823,3.96,234,108,2.73
29,UTTARA KANNADA,24387,20.41,3281,4.79,652,127,4.52
30,YADGIR,8417,22.18,1750,5.13,52,0,0
,STATE,837683,16.86,196035,5.84,15108,4554,4.07
,,,,,,,,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS, STILL BIRTHS AND RATES RURAL-2015",,,,,,,,
,,Birth,,Death,,"Registered
Infant Death",Still Birth,
"Sl.
No",District,Registered,Rate,Registered,Rate,,Registered,Rate
1,BAGALKOTE,7273,21.25,5649,5.38,20,28,6.57
2,BANGALORE (R),1853,8.26,3759,5.75,16,0,2.9
3,BANGALORE (U),6601,12.4,4075,4.21,115,13,0.62
4,BELGAUM,29128,17.65,20269,6.25,185,151,5.82
5,BELLARY,18072,21.3,7632,5.77,65,48,5.72
6,BIDAR,12864,19.34,5703,4.75,94,3,4.4
7,BIJAPUR,17718,21.7,8047,5.52,114,94,4.62
8,CHAMARAJANAGAR,3850,11.77,5670,7.35,29,16,6.53
9,CHICKBALLAPUR,2388,10.72,4821,5,12,6,2.34
10,CHIKMAGALUR,3613,11.81,4164,5.43,36,11,3.62
