District,2011,2014,2015,2016
BAGALKOTE,48759,48303,48851,47401
BANGALORE (R),9292,11236,8965,10697
BANGALORE (U),146105,154766,159272,160161
BELGAUM,96159,89606,89019,94861
BELLARY,54319,52110,54056,55388
BIDAR,40487,34170,36576,47339
BIJAPUR,61009,57550,52268,54769
CHAMARAJANAGAR,13733,11150,10395,11102
CHICKBALLAPUR,17918,14718,15039,16996
CHIKMAGALUR,17366,15077,15549,15005
CHITRADURGA,27130,24418,23741,24773
DAKSHINA KANNADA,38335,38264,39521,41383
DAVANAGERE,37149,40771,35424,34760
DHARWAD,39537,40351,38980,37364
GADAG,22567,20367,20007,19458
GULBARGA,49277,71232,58595,63707
HASSAN,26445,25999,25224,25452
HAVERI,30117,27154,24075,26453
KODAGU,8300,7808,7971,8179
KOLAR,21667,25401,23748,24614
KOPPAL,32610,26246,26978,28822
MANDYA,22280,20679,20107,19949
MYSORE,49105,45668,47374,54649
RAICHUR,31689,27624,25368,28902
RAMANAGAR,13547,11091,12036,10215
SHIMOGA,33555,31476,32992,33753
TUMKUR,41075,36189,36643,39942
UDUPI,19928,19558,18724,19356
UTTARA KANNADA,26425,26588,28806,25936
YADGIR,32677,31960,16944,25872
